drug_name,chembl_id,smiles,MolecularWeight,LogP,HBD,HBA,RotatableBonds,TPSA,activity_value,pIC50
NaN,CHEMBL5968961,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccccc4)ncnc3cc2OC)CC1,404.4700000000002,3.937800000000003,1,6,6,76.58,470.0,6.327902142064283
NaN,CHEMBL5405163,COc1c(F)cccc1Nc1c(-c2ccncc2OCC(C)(C)OC)[nH]c2c1C(=O)NCC2,454.5020000000003,4.057700000000002,3,6,8,97.5,0.177,9.752026733638193
NaN,CHEMBL5792678,C=CC(=O)N1CC(Oc2ccc3ncnc(Nc4ccc(Br)c(Cl)c4)c3n2)C1,460.71900000000016,3.959900000000003,1,6,5,80.24000000000001,430.0,6.366531544420414
NaN,CHEMBL4750368,CNc1nc(C)c(C(=O)/C=C/c2ccc(O)cc2)s1,274.345,3.094920000000001,2,5,4,62.22,33.66,7.472885888360195
NaN,CHEMBL6161949,COc1cc2ncnc(Nc3ccc(Cl)c(O)c3)c2cc1OC.Cl,368.2200000000001,4.171400000000002,2,6,4,76.50000000000001,0.84,9.075720713938118
NaN,CHEMBL3775879,COc1cc2ncnc(Nc3ccc(F)c(O)c3)c2cc1OC,315.3040000000001,3.2353000000000005,2,6,4,76.50000000000001,2.55,8.593459819566045
NaN,CHEMBL6133741,CC[C@H](C(=O)N1CCCC[C@@H]1C(=O)O[C@H](CCc1ccc(OC)c(OC)c1)c1cccc(OCC(=O)NCCC(=O)N2CCN(CCCOc3cc4c(Nc5ccc(F)c(Cl)c5)ncnc4cc3OC)CC2)c1)c1cc(OC)c(OC)c(OC)c1,1192.7799999999988,9.507900000000001,2,17,28,210.9099999999999,13.0,7.886056647693163
NaN,CHEMBL129123,COc1cc(Nc2ncnc3cc(OC)c(OC)cc23)c(Cl)cc1Cl,380.2310000000001,4.706000000000002,1,6,5,65.5,61.27,7.212752119668046
NaN,CHEMBL5991347,C=CC(=O)N1CCC(Nc2cncc(-c3cnc(Oc4cccc(Cl)c4)nc3)n2)CC1,436.90300000000025,3.968200000000002,1,7,6,93.13000000000001,207.0,6.684029654543083
NaN,CHEMBL5189340,CN(C)c1ccc(/C=N/NC(=O)Cn2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)cc1,473.9640000000001,3.857000000000003,1,5,7,79.59,0.45,9.346787486224656
NaN,CHEMBL4445015,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4cc(F)cc(F)c4)cc3)ccnc2cc1OCCCN1CCOCC1,665.7189999999996,5.725700000000006,2,9,11,114.49000000000001,4750.0,5.323306390375134
NaN,CHEMBL5266798,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(CC)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,599.736,5.557900000000005,2,9,13,113.85,24.0,7.619788758288394
NaN,CHEMBL5272858,C=CC(=O)Nc1cc(Nc2ncc(Br)c(Nc3ccc4ccn(C)c4c3)n2)ccc1N1CCN(C)CC1,561.488,5.094300000000005,3,7,7,90.34999999999998,27.8,7.555955204081924
NaN,CHEMBL5265870,C=CC(=O)Nc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3)CCC4)n2)ccc1N1CCN(C)CC1,548.4890000000001,5.091300000000005,3,7,7,85.41999999999999,27.7,7.557520230935552
NaN,CHEMBL5291434,CCC(=O)Nc1cc(Nc2ncc(Br)c(Nc3ccc4cc[nH]c4c3)n2)c(OC)cc1N1CCN(C)CC1,579.5029999999999,5.316500000000004,4,8,8,110.44,92.1,7.035740369803151
NaN,CHEMBL5631207,Cc1cc(N2Cc3ccccc3C2)nc2ccc(Cl)cc12,294.785,4.716820000000003,0,2,1,16.130000000000003,130.0,6.886056647693163
NaN,CHEMBL5195912,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)CC4)cc2)CC1,554.6910000000001,6.1367000000000065,1,5,6,65.54,3.2,8.494850021680094
NaN,CHEMBL5173701,CN1CCC(c2ccc(-c3ccc4ccn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1,534.6850000000001,6.162300000000005,1,5,6,67.23,1.8,8.744727494896694
NaN,CHEMBL5612882,N#Cc1ccc(-c2cn3c(CC(=O)N/N=C/c4ccccc4)csc3n2)cc1,385.45200000000006,3.6272800000000016,1,5,5,82.55,49010.0,4.3097152974873705
NaN,CHEMBL3805508,c1ccc(COc2cccc(C3CC(c4ccc5c(c4)OCCO5)=NN3c3ccccc3)c2)cc1,462.54900000000015,6.392500000000006,0,5,6,43.29,7920.0,5.101274818410507
NaN,CHEMBL5270419,COc1cc2ncnc(Nc3ccc(OCCn4ccnc4[N+](=O)[O-])c(Cl)c3)c2cc1OCCCN1CCOCC1,584.0330000000001,4.3202000000000025,1,11,13,138.93,120.0,6.920818753952375
NaN,CHEMBL5283875,C=CC(=O)Nc1ccccc1Nc1ncnc2cc(OC)c(OCCN3CCOCC3)cc12,449.5110000000004,3.217500000000001,2,8,9,97.84,4.3,8.366531544420413
NaN,CHEMBL5286575,CCCN(c1ccc(F)c(Cl)c1)c1ncnc2cc(OC)c(OCCCN3CCOCC3)cc12,488.99100000000044,5.080100000000005,0,7,10,59.95,21.4,7.669586226650809
NaN,CHEMBL5286730,Cc1ccc(NC(=O)CSc2nc3cc4ccccc4cc3c(=O)n2-c2ccc(S(N)(=O)=O)cc2)cc1C,544.6580000000002,4.533940000000003,2,6,6,124.15,3900.0,5.4089353929735005
NaN,CHEMBL5270335,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)C[C@@H]1CCCN1C,611.7469999999998,5.607600000000005,2,9,11,113.85,57.0,7.2441251443275085
NaN,CHEMBL1241481,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(=O)OC(C)(C)C,398.46700000000016,4.012000000000002,2,7,4,117.17999999999999,170.0,6.769551078621726
NaN,CHEMBL1241578,CC(C)n1nc(-c2ccc(Br)c(O)c2)c2c(N)ncnc21,348.20400000000006,3.124500000000001,2,5,2,89.85,550.0,6.259637310505756
NaN,CHEMBL5291481,O=c1c2ccc(Cl)cc2nc(-c2ccccc2)n1-c1nnc(-c2ccccc2C2CC2)o1,440.89000000000027,5.633500000000004,0,5,4,73.81,102.0,6.991399828238082
NaN,CHEMBL5276251,O=C(/C=C/c1ccc(F)cc1)c1cc(Br)cc2cc(-c3ccccc3)oc12,421.26500000000016,6.8975000000000035,0,2,4,30.21,90.0,7.045757490560675
NaN,CHEMBL5281118,COc1cc(/C=C2\CCc3ccc([N+](=O)[O-])cc3\C2=N\O)c(Br)c(OC)c1OC,463.28400000000016,4.591200000000004,1,7,5,103.42000000000002,1900.0,5.721246399047171
NaN,CHEMBL5281140,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@@H](C)CC)CC1,533.4310000000002,6.552400000000006,1,6,8,76.58,1.21,8.91721462968355
NaN,CHEMBL5279914,COc1cc(C(=NC#N)c2csc(-c3ccccc3)n2)cc(OC)c1OC,379.4410000000002,4.154380000000004,0,7,6,76.73,20.0,7.698970004336019
NaN,CHEMBL4568408,COc1cc(/C=C/C(=O)c2ccc(NC(=O)c3cc4cc5cc(C)ccc5nc4s3)cc2)cc(OC)c1OC,538.6250000000002,6.932120000000006,1,7,8,86.75,3200.0,5.494850021680094
NaN,CHEMBL4877452,O=C1N=C(NN2Cc3ccccc3N=C2c2ccccc2)S/C1=C/c1ccc(O)cc1O,442.50000000000017,4.166800000000004,3,7,3,97.52000000000001,178.1,6.749336080536756
NaN,CHEMBL5286368,CN1CCN(CCC(=O)N2CCOc3c2ccc2ncnc(Nc4ccc(F)c(Cl)c4)c32)CC1,484.96300000000014,3.5288000000000013,1,7,5,73.83,25.69,7.590235895733654
NaN,CHEMBL4439680,COc1ccc(/C=C/C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2O[C@@H]2CCOC2)cc1,534.9750000000003,5.994100000000004,2,7,8,94.60000000000001,9.0,8.045757490560675
NaN,CHEMBL5284866,COc1cc2c(Nc3ccc(Oc4ccccc4C)cc3)ncnc2cc1OCC1CCN(C)CC1,484.60000000000036,6.203320000000007,1,7,8,68.74,32.0,7.494850021680094
NaN,CHEMBL5219777,CC(=O)N[C@H]1CC[C@@H](N2C(=O)N(c3ccccc3Cl)Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)CC1,603.171,5.327720000000006,2,7,6,96.94,3.1,8.508638306165727
NaN,CHEMBL4743464,N#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1F,322.2990000000001,3.155380000000001,1,6,2,80.06,28.2,7.549750891680639
NaN,CHEMBL4213146,CCc1c2cc(C(F)(F)F)ccc2n2cc(Cc3ccccc3)[nH]c(=O)c12,370.374,4.952800000000004,1,1,3,37.269999999999996,3900.0,5.4089353929735005
NaN,CHEMBL2441561,O=C(/C=C/CN1CCOCC1)N1CCOc2cc3ncnc(Nc4ccc(F)c(Cl)c4)c3cc21,483.93100000000015,3.779700000000002,1,7,5,79.82000000000001,7.0,8.154901959985743
NaN,CHEMBL5776801,CN(C)C(=O)N[C@@H]1CCCN(c2cnc(C(N)=O)c(Nc3ccc(C4CCN(C5CC5)CC4)cc3)n2)C1,506.65500000000037,2.900900000000001,3,7,7,119.72,550.0,6.259637310505756
NaN,CHEMBL6033572,CC(C)N1CCC(C)(c2ccc(Nc3nc(N4CCC[C@@H](N5CCN(C)C5=O)C4)cnc3C(N)=O)cc2)CC1,534.7090000000003,3.417200000000002,2,7,7,110.93,5500.0,5.259637310505756
NaN,CHEMBL5618366,C=CC(=O)Nc1cc(Nc2ncc(F)c(-c3ccc4cc(C(=O)N(C)C)n(C(C)C)c4c3)n2)ccc1N1CCN(C(C)C)CC1,612.7539999999999,5.918600000000006,2,7,9,98.62999999999998,60.0,7.221848749616356
NaN,CHEMBL5940713,C=CC(=O)Nc1cc(Nc2nc(OC3CN(S(C)(=O)=O)C3)c3ccn(CO)c3n2)c(OC)cc1N(C)CCN(C)C,588.691,1.2782000000000002,3,11,13,154.39000000000001,5.0,8.301029995663981
NaN,CHEMBL1821862,Cc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc(F)cc3)C2)cc1C,427.5480000000002,6.921740000000005,0,4,4,28.490000000000002,1730.0,5.761953896871205
NaN,CHEMBL1821882,O=[N+]([O-])c1ccc(C2CC(c3ccc(Br)cc3)=NN2c2nc(-c3ccccc3)cs2)cc1,505.39700000000016,6.836500000000005,0,6,5,71.63,15720.0,4.8035474582966105
